param	type	estimate	lower	upper
nonsevere_infection	dirichlet	0.33	0.26	0.36
severe_infection	dirichlet	0.43	0.34	0.46
fulminant_infection	dirichlet	0.23	0.18	0.24
nonsevere_cure	beta	0.898	0.861	0.928
nonsevere_recur	beta	0.215	0.17	0.265
severe_cure	beta	0.846	0.791	0.892
severe_recur	beta	0.253	0.191	0.322
fulminant_cure	beta	0.515	0.438	0.592
fulminant_recur	beta	0.253	0.191	0.322
first_cure	beta	0.916	0.834	0.965
first_recur	beta	0.355	0.237	0.487
second_abx_cure	beta	0.69	0.492	0.847
second_abx_recur	beta	0.31	0.153	0.508
second_fmt_cure	beta	0.896	0.863	0.924
second_fmt_recur	beta	0.113	0.085	0.147
